,firm
2084,46.2
2085,47.8
2086,46.8
2087,48.0
2956,46.0
2957,44.0
2958,47.0
2959,39.8
3292,32.0
3293,31.0
3294,29.4
3295,40.8
2648,48.4
2649,48.0
2650,50.8
2651,44.4
1644,32.2
1645,28.6
1646,31.6
1647,33.8
2720,42.8
2721,40.6
2722,43.4
2723,39.8
2512,49.8
2513,44.4
2514,40.4
2515,44.4
2052,37.2
2053,47.8
2054,46.2
2055,39.0
3096,14.4
3097,15.6
3098,17.8
3099,14.6
544,43.2
545,37.0
546,44.4
547,41.6
3252,49.0
3253,46.8
3254,45.2
3255,44.8
304,53.8
305,49.4
306,54.0
307,51.0
2552,38.4
2553,44.4
2554,42.8
2555,45.2
3228,49.4
3229,57.8
3230,56.0
3231,57.6
3760,39.4
3761,43.4
3762,30.6
3763,35.8
3604,34.0
3605,33.8
3606,30.0
3607,31.2
1120,16.2
1121,12.6
1122,14.6
1123,17.0
3540,32.2
3541,35.4
3542,32.0
3543,32.6
2288,48.8
2289,46.2
2290,45.0
2291,42.8
1276,40.4
1277,33.8
1278,35.4
1279,37.0
2196,38.8
2197,35.6
2198,40.6
2199,46.8
696,41.2
697,39.0
698,41.0
699,37.4
1484,34.4
1485,34.6
1486,40.2
1487,35.8
2108,43.0
2109,56.0
2110,45.0
2111,45.2
840,20.8
841,23.6
842,27.4
843,29.0
940,12.2
941,9.0
942,6.2
943,8.5
404,46.2
405,49.2
406,46.4
407,48.0
3952,39.8
3953,45.0
3954,43.8
3955,43.2
3616,35.4
3617,32.2
3618,32.2
3619,31.4
3348,19.0
3349,19.8
3350,23.2
3351,19.6
1384,38.8
1385,40.2
1386,36.0
1387,36.2
556,38.0
557,38.8
558,40.8
559,42.4
2776,45.4
2777,42.0
2778,41.8
2779,42.8
1996,60.0
1997,49.6
1998,51.8
1999,54.0
1480,35.8
1481,36.2
1482,34.4
1483,32.2
792,28.0
793,29.4
794,27.8
795,25.4
2612,37.0
2613,34.6
2614,39.8
2615,38.4
2692,37.4
2693,37.8
2694,38.4
2695,31.8
3456,35.4
3457,33.0
3458,28.4
3459,30.2
236,47.6
237,43.6
238,49.2
239,56.8
1312,38.4
1313,39.8
1314,37.6
1315,39.8
384,51.6
385,49.4
386,55.0
387,51.8
1248,34.6
1249,37.6
1250,36.8
1251,35.8
3904,48.6
3905,59.4
3906,67.2
3907,54.6
1196,39.0
1197,41.6
1198,45.2
1199,38.0
1108,8.2
1109,10.8
1110,10.8
1111,11.0
3704,46.4
3705,49.8
3706,53.6
3707,46.0
2412,47.6
2413,49.2
2414,48.6
2415,50.0
1756,46.8
1757,41.4
1758,48.0
1759,44.4
3416,34.4
3417,33.4
3418,36.0
3419,36.0
2772,45.8
2773,41.4
2774,42.8
2775,37.4
3524,39.4
3525,38.2
3526,42.2
3527,38.2
1044,3.2
1045,5.6
1046,8.8
1047,3.2
2320,46.0
2321,55.2
2322,48.4
2323,50.6
92,57.2
93,53.2
94,56.6
95,52.0
120,48.4
121,52.4
122,57.0
123,49.8
3188,36.4
3189,42.8
3190,41.8
3191,41.6
40,54.2
41,47.2
42,47.0
43,50.8
884,31.2
885,28.2
886,27.2
887,25.4
3288,45.0
3289,37.6
3290,43.6
3291,43.4
1184,39.4
1185,45.6
1186,39.8
1187,38.6
216,42.6
217,45.2
218,50.6
219,43.2
2168,44.4
2169,50.6
2170,60.8
2171,51.4
836,59.4
837,53.2
838,58.6
839,52.6
2444,41.2
2445,34.2
2446,39.6
2447,37.8
2500,41.2
2501,44.6
2502,43.6
2503,44.8
2656,41.4
2657,52.0
2658,47.8
2659,46.6
3472,35.2
3473,37.4
3474,35.2
3475,31.2
280,47.6
281,50.2
282,48.4
283,47.2
2172,34.4
2173,33.2
2174,32.2
2175,30.8
428,47.2
429,46.8
430,50.6
431,56.4
1972,51.0
1973,50.4
1974,47.8
1975,48.2
3468,24.4
3469,27.6
3470,26.8
3471,26.6
2972,21.2
2973,15.0
2974,22.2
2975,23.2
1168,34.0
1169,32.6
1170,33.2
1171,30.2
1156,13.2
1157,21.0
1158,11.0
1159,9.4
3256,37.0
3257,41.2
3258,45.6
3259,40.4
156,53.0
157,47.0
158,54.4
159,45.4
2364,35.8
2365,36.4
2366,36.0
2367,34.6
1228,35.4
1229,32.2
1230,35.4
1231,31.4
3212,48.6
3213,52.2
3214,46.8
3215,45.2
264,57.0
265,60.2
266,64.8
267,59.2
1100,6.8
1101,6.2
1102,7.2
1103,5.6
268,53.6
269,53.0
270,54.8
271,51.2
1272,33.2
1273,31.8
1274,35.0
1275,31.4
2192,54.0
2193,55.8
2194,49.6
2195,49.6
4000,44.8
4001,35.4
4002,35.8
4003,38.8
2864,42.2
2865,51.8
2866,40.6
2867,41.4
3020,33.2
3021,31.4
3022,26.4
3023,31.6
1308,42.6
1309,40.6
1310,41.8
1311,44.2
1528,18.8
1529,17.6
1530,14.4
1531,12.2
1804,37.4
1805,37.4
1806,24.4
1807,39.0
2088,54.8
2089,50.0
2090,55.4
2091,51.2
872,15.0
873,10.8
874,8.6
875,11.8
3156,46.4
3157,43.6
3158,42.8
3159,54.6
1744,59.2
1745,65.0
1746,46.6
1747,66.8
3576,28.0
3577,33.0
3578,33.8
3579,34.4
352,50.6
353,44.8
354,49.6
355,45.0
252,59.6
253,56.6
254,52.4
255,51.2
3312,27.2
3313,30.6
3314,23.2
3315,27.4
2872,39.8
2873,34.6
2874,43.4
2875,49.0
1404,36.4
1405,33.0
1406,32.8
1407,29.2
2408,46.2
2409,44.2
2410,44.8
2411,40.8
1024,3.8
1025,5.2
1026,6.0
1027,3.6
2960,33.8
2961,33.8
2962,35.6
2963,29.4
3776,48.2
3777,46.2
3778,41.2
3779,47.4
2216,35.4
2217,35.4
2218,38.2
2219,35.8
3844,32.6
3845,38.2
3846,37.2
3847,36.8
672,40.6
673,42.4
674,42.6
675,51.0
3492,35.8
3493,36.4
3494,40.4
3495,36.0
2112,50.0
2113,46.0
2114,44.4
2115,46.6
2768,27.8
2769,38.2
2770,34.2
2771,35.2
3948,36.0
3949,35.2
3950,37.8
3951,36.8
3780,51.2
3781,56.2
3782,52.0
3783,57.8
344,29.4
345,27.0
346,14.8
347,24.2
1728,36.4
1729,36.2
1730,42.6
1731,43.4
736,23.6
737,23.6
738,24.8
739,28.2
3920,34.6
3921,34.4
3922,36.8
3923,36.0
2136,57.2
2137,58.8
2138,53.0
2139,45.2
1176,37.4
1177,35.8
1178,33.2
1179,35.2
3592,52.0
3593,55.6
3594,45.4
3595,51.4
1700,43.0
1701,6.4
1702,49.6
1703,47.8
2860,45.6
2861,37.2
2862,44.8
2863,43.4
1040,16.2
1041,13.4
1042,13.8
1043,14.0
948,8.4
949,9.8
950,9.2
951,8.8
2236,46.2
2237,46.4
2238,45.2
2239,48.0
2340,52.4
2341,50.0
2342,51.2
2343,49.6
1780,57.0
1781,45.0
1782,53.0
1783,56.8
3476,24.2
3477,32.8
3478,27.6
3479,24.6
3208,50.6
3209,46.2
3210,48.6
3211,46.6
2404,41.0
2405,33.2
2406,39.2
2407,30.8
3404,20.0
3405,21.4
3406,20.6
3407,18.8
1060,4.0
1061,3.8
1062,5.0
1063,2.8
3988,31.0
3989,33.6
3990,34.2
3991,39.6
2116,41.8
2117,50.8
2118,45.6
2119,46.4
220,34.8
221,32.4
222,31.0
223,32.4
480,47.8
481,47.8
482,41.4
483,46.8
860,9.4
861,13.0
862,14.2
863,15.0
100,48.4
101,54.6
102,47.7
103,44.0
288,41.2
289,37.4
290,44.4
291,45.0
176,42.4
177,44.6
178,53.0
179,45.0
988,18.2
989,19.8
990,17.4
991,19.8
2892,34.2
2893,33.0
2894,43.6
2895,37.2
1124,6.2
1125,5.4
1126,6.2
1127,5.4
3580,34.6
3581,34.6
3582,35.8
3583,35.8
3664,37.4
3665,40.6
3666,38.6
3667,36.8
3516,39.2
3517,35.4
3518,34.8
3519,31.4
976,12.2
977,12.8
978,10.6
979,17.4
2304,37.2
2305,42.8
2306,42.8
2307,44.4
1284,34.6
1285,33.0
1286,32.0
1287,31.4
3200,48.8
3201,44.0
3202,44.2
3203,42.8
632,28.6
633,44.8
634,48.0
635,27.4
3652,47.0
3653,56.0
3654,54.0
3655,56.4
1716,6.6
1717,7.0
1718,7.2
1719,6.6
3772,29.8
3773,30.6
3774,24.8
3775,30.6
1848,43.0
1849,44.4
1850,49.6
1851,45.0
1236,37.4
1237,35.6
1238,34.2
1239,37.2
3828,36.0
3829,33.0
3830,34.4
3831,34.8
240,42.0
241,48.2
242,49.0
243,45.2
3060,12.0
3061,16.0
3062,16.0
3063,17.6
2388,35.0
2389,39.8
2390,39.0
2391,34.2
2660,30.2
2661,31.8
2662,34.2
2663,32.0
