RecID,YearC,Decade,FlagName,FleetCode,ReportedCoverageRatio,ByQuarter,xLon5,yLat5,ReportedEffort,EstimatedCoverageRatio,ImputedEffort,TotalEstimatedEffort
1,2000,2000,EU-Italy,EU.ITA-IT-IONIAN,15,4,17.5,37.5,72000,0.15,408000,480000
2,2000,2000,EU-Italy,EU.ITA-IT-IONIAN,15,4,17.5,37.5,2300,0.15,13033.33333,15333.33333
3,2000,2000,EU-Italy,EU.ITA-IT-IONIAN,15,4,17.5,37.5,96600,0.15,547400,644000
4,2000,2000,EU-Italy,EU.ITA-IT-IONIAN,15,4,17.5,42.5,13800,0.15,78200,92000
5,2000,2000,EU-Italy,EU.ITA-IT-IONIAN,15,1,17.5,37.5,3000,0.15,17000,20000
6,2000,2000,EU-Italy,EU.ITA-IT-IONIAN,15,2,17.5,37.5,78000,0.15,442000,520000
7,2000,2000,EU-Italy,EU.ITA-IT-IONIAN,15,3,17.5,37.5,72900,0.15,413100,486000
8,2000,2000,EU-Italy,EU.ITA-IT-IONIAN,15,3,12.5,32.5,6800,0.15,38533.33333,45333.33333
9,2000,2000,EU-Italy,EU.ITA-IT-IONIAN,15,3,17.5,32.5,8500,0.15,48166.66667,56666.66667
10,2000,2000,EU-Italy,EU.ITA-IT-IONIAN,15,3,17.5,37.5,165650,0.15,938683.3333,1104333.333
11,2000,2000,EU-Italy,EU.ITA-IT-IONIAN,15,4,17.5,37.5,28300,0.15,160366.6667,188666.6667
12,2000,2000,EU-Italy,EU.ITA-IT-IONIAN,15,4,12.5,32.5,7400,0.15,41933.33333,49333.33333
13,2000,2000,EU-Italy,EU.ITA-IT-IONIAN,15,4,17.5,32.5,1400,0.15,7933.333333,9333.333333
14,2000,2000,EU-Italy,EU.ITA-IT-IONIAN,15,4,17.5,37.5,6000,0.15,34000,40000
15,2000,2000,Brazil,BRA,NA,1,-37.5,-17.5,1200,1,0,1200
16,2000,2000,Brazil,BRA,NA,1,-37.5,-12.5,2400,1,0,2400
17,2000,2000,Brazil,BRA,NA,1,-37.5,-2.5,35800,1,0,35800
18,2000,2000,Brazil,BRA,NA,1,-32.5,-17.5,1800,1,0,1800
19,2000,2000,Brazil,BRA,NA,1,-32.5,-12.5,3000,1,0,3000
20,2000,2000,Brazil,BRA,NA,1,-32.5,-7.5,3600,1,0,3600
21,2000,2000,Brazil,BRA,NA,1,-32.5,-2.5,263820,1,0,263820
22,2000,2000,Brazil,BRA,NA,1,-32.5,2.5,9740,1,0,9740
23,2000,2000,Brazil,BRA,NA,1,-32.5,7.5,5200,1,0,5200
24,2000,2000,Brazil,BRA,NA,1,-27.5,-22.5,2700,1,0,2700
25,2000,2000,Brazil,BRA,NA,1,-27.5,-2.5,14600,1,0,14600
26,2000,2000,Brazil,BRA,NA,1,-27.5,2.5,2470,1,0,2470
27,2000,2000,Brazil,BRA,NA,1,-22.5,-2.5,1800,1,0,1800
28,2000,2000,Brazil,BRA,NA,2,-47.5,-32.5,5100,1,0,5100
29,2000,2000,Brazil,BRA,NA,2,-47.5,-27.5,4000,1,0,4000
30,2000,2000,Brazil,BRA,NA,2,-37.5,-32.5,500,1,0,500
31,2000,2000,Brazil,BRA,NA,2,-37.5,-2.5,54530,1,0,54530
32,2000,2000,Brazil,BRA,NA,2,-32.5,-12.5,25350,1,0,25350
33,2000,2000,Brazil,BRA,NA,2,-32.5,-7.5,23630,1,0,23630
34,2000,2000,Brazil,BRA,NA,2,-32.5,-2.5,44650,1,0,44650
35,2000,2000,Brazil,BRA,NA,2,-32.5,2.5,5100,1,0,5100
36,2000,2000,Brazil,BRA,NA,2,-27.5,-12.5,5480,1,0,5480
37,2000,2000,Brazil,BRA,NA,2,-27.5,-2.5,31420,1,0,31420
38,2000,2000,Brazil,BRA,NA,2,-27.5,2.5,26600,1,0,26600
39,2000,2000,Brazil,BRA,NA,2,-22.5,-2.5,2200,1,0,2200
40,2000,2000,Brazil,BRA,NA,3,-52.5,-32.5,25800,1,0,25800
41,2000,2000,Brazil,BRA,NA,3,-47.5,-32.5,44450,1,0,44450
42,2000,2000,Brazil,BRA,NA,3,-47.5,-27.5,42100,1,0,42100
43,2000,2000,Brazil,BRA,NA,3,-42.5,-32.5,3100,1,0,3100
44,2000,2000,Brazil,BRA,NA,3,-42.5,-27.5,4000,1,0,4000
45,2000,2000,Brazil,BRA,NA,3,-42.5,-2.5,8000,1,0,8000
46,2000,2000,Brazil,BRA,NA,3,-37.5,-27.5,6000,1,0,6000
47,2000,2000,Brazil,BRA,NA,3,-37.5,-17.5,1100,1,0,1100
48,2000,2000,Brazil,BRA,NA,3,-37.5,-12.5,2700,1,0,2700
49,2000,2000,Brazil,BRA,NA,3,-37.5,-7.5,1900,1,0,1900
50,2000,2000,Brazil,BRA,NA,3,-37.5,-2.5,59550,1,0,59550
51,2000,2000,Brazil,BRA,NA,3,-32.5,-12.5,13400,1,0,13400
52,2000,2000,Brazil,BRA,NA,3,-32.5,-7.5,74170,1,0,74170
53,2000,2000,Brazil,BRA,NA,3,-32.5,-2.5,36250,1,0,36250
54,2000,2000,Brazil,BRA,NA,3,-32.5,2.5,54639,1,0,54639
55,2000,2000,Brazil,BRA,NA,3,-32.5,7.5,11520,1,0,11520
56,2000,2000,Brazil,BRA,NA,3,-27.5,-7.5,1100,1,0,1100
57,2000,2000,Brazil,BRA,NA,3,-27.5,2.5,19801,1,0,19801
58,2000,2000,Brazil,BRA,NA,4,-52.5,-32.5,27000,1,0,27000
59,2000,2000,Brazil,BRA,NA,4,-47.5,-32.5,44100,1,0,44100
60,2000,2000,Brazil,BRA,NA,4,-47.5,-27.5,14000,1,0,14000
61,2000,2000,Brazil,BRA,NA,4,-42.5,-32.5,1000,1,0,1000
62,2000,2000,Brazil,BRA,NA,4,-42.5,-27.5,6000,1,0,6000
63,2000,2000,Brazil,BRA,NA,4,-37.5,-17.5,3600,1,0,3600
64,2000,2000,Brazil,BRA,NA,4,-37.5,-12.5,3600,1,0,3600
65,2000,2000,Brazil,BRA,NA,4,-37.5,-2.5,39550,1,0,39550
66,2000,2000,Brazil,BRA,NA,4,-32.5,-12.5,19200,1,0,19200
67,2000,2000,Brazil,BRA,NA,4,-32.5,-7.5,61568,1,0,61568
68,2000,2000,Brazil,BRA,NA,4,-32.5,-2.5,96787,1,0,96787
69,2000,2000,Brazil,BRA,NA,4,-32.5,2.5,5584,1,0,5584
70,2000,2000,Brazil,BRA,NA,4,-27.5,-12.5,9600,1,0,9600
71,2000,2000,Brazil,BRA,NA,4,-27.5,-7.5,2400,1,0,2400
72,2000,2000,Brazil,BRA-ES,NA,1,-37.5,-22.5,1000,1,0,1000
73,2000,2000,Brazil,BRA-ES,NA,1,-37.5,2.5,35200,1,0,35200
74,2000,2000,Brazil,BRA-ES,NA,1,-32.5,-32.5,14000,1,0,14000
